
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0        142           360.743                         5.17e+03
     1        284           42.1274        0.602645              492      
     2        426           28.8567        0.314883              241      
     3        568           17.5452         0.57493             23.7      
     4        710           15.3078        0.331197             15.2      
     5        852           13.9425        0.373234             13.4      
     6        994           13.6666        0.203592             4.18      
     7       1136           13.5399        0.191688             9.71      
     8       1278           13.5399        0.151608             9.71      
     9       1420           13.5284       0.0379021             6.19      
    10       1562           13.5228       0.0379021             3.12      
    11       1704           13.5168       0.0379021             1.13      
    12       1846           13.5126       0.0379021             1.52      
    13       1988           13.5097        0.066464              4.2      
    14       2130           13.5097       0.0758042             7.88      
    15       2272            13.507        0.018951            0.996      
    16       2414           13.5062        0.018951            0.565      
    17       2556           13.5058       0.0379021             2.94      
    18       2698           13.5058       0.0379021             2.94      
    19       2840           13.5055      0.00947552            0.186      
    20       2982           13.5054      0.00947552             1.27      
    21       3124           13.5054      0.00947552            0.439      
    22       3266           13.5054      0.00236888           0.0969      
    23       3408           13.5054      0.00236888            0.353      
    24       3550           13.5054      0.00236888           0.0213      
    25       3692           13.5054      0.00236888            0.346      
    26       3834           13.5054      0.00059222            0.016      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
   53       21674    6.192158e+01     0.000e+00     1.176e-01     2.570e-01     1.846e+02  
   54       22072    6.037673e+01     0.000e+00     1.176e-01     2.568e-01     1.602e+02  
   55       22471    5.945222e+01     0.000e+00     8.235e-02     2.750e-01     1.653e+02  
   56       22870    5.753861e+01     0.000e+00     8.235e-02     1.580e-01     2.126e+02  
   57       23269    5.709166e+01     0.000e+00     8.235e-02     1.450e-01     1.461e+02  
   58       23667    5.583119e+01     0.000e+00     1.176e-01     2.173e-01     1.345e+02  
   59       24065    5.526768e+01     0.000e+00     1.176e-01     1.868e-01     1.232e+02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   60       24464    5.353012e+01     0.000e+00     8.235e-02     2.558e-01     1.126e+02  
   61       24863    5.249526e+01     0.000e+00     8.235e-02     1.550e-01     1.593e+02  
   62       25262    5.067403e+01     0.000e+00     8.235e-02     1.754e-01     1.191e+02  
   63       25660    5.017854e+01     0.000e+00     1.176e-01     2.489e-01     1.140e+02  
   64       26059    4.854754e+01     0.000e+00     8.235e-02     1.394e-01     9.636e+01  
   65       26457    4.844019e+01     0.000e+00     1.176e-01     1.509e-01     1.495e+02  
   66       26857    4.738376e+01     0.000e+00     5.765e-02     1.359e-01     9.803e+01  
   67       27256    4.630561e+01     0.000e+00     8.235e-02     1.383e-01     8.940e+01  
   68       27656    4.520900e+01     0.000e+00     5.765e-02     1.258e-01     6.595e+01  
   69       28055    4.489656e+01     0.000e+00     8.235e-02     1.157e-01     7.334e+01  
   70       28453    4.416290e+01     0.000e+00     1.176e-01     1.534e-01     5.682e+01  
   71       28853    4.372146e+01     0.000e+00     5.765e-02     6.831e-02     5.572e+01  
   72       29253    4.310578e+01     0.000e+00     5.765e-02     9.760e-02     7.881e+01  
   73       29652    4.249459e+01     0.000e+00     8.235e-02     1.409e-01     6.234e+01  
   74       30053    4.191719e+01     0.000e+00     4.035e-02     8.257e-02     6.656e+01  
   75       30453    4.146709e+01     0.000e+00     5.765e-02     7.113e-02     5.509e+01  
   76       30853    4.123904e+01     0.000e+00     5.765e-02     1.114e-01     5.765e+01  
   77       31252    4.098082e+01     0.000e+00     8.235e-02     8.147e-02     4.642e+01  
   78       31651    4.091486e+01     0.000e+00     8.235e-02     1.054e-01     7.481e+01  
   79       32050    4.072761e+01     0.000e+00     8.235e-02     1.182e-01     5.251e+01  
   80       32449    4.022327e+01     0.000e+00     8.235e-02     9.928e-02     5.082e+01  
   81       32847    4.005805e+01     0.000e+00     1.176e-01     1.036e-01     6.355e+01  
   82       33246    3.940470e+01     0.000e+00     8.235e-02     8.785e-02     5.202e+01  
   83       33646    3.913996e+01     0.000e+00     5.765e-02     9.542e-02     4.225e+01  
   84       34044    3.893473e+01     0.000e+00     1.176e-01     9.964e-02     4.477e+01  
   85       34441    3.863054e+01     0.000e+00     1.681e-01     1.423e-01     4.170e+01  
   86       34840    3.827115e+01     0.000e+00     8.235e-02     8.976e-02     3.761e+01  
   87       35237    3.777558e+01     0.000e+00     1.681e-01     1.369e-01     4.526e+01  
   88       35635    3.727255e+01     0.000e+00     1.176e-01     7.832e-02     4.199e+01  
   89       36034    3.667212e+01     0.000e+00     8.235e-02     8.818e-02     4.143e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   90       36431    3.624126e+01     0.000e+00     1.681e-01     9.521e-02     5.661e+01  
   91       36831    3.617340e+01     0.000e+00     5.765e-02     6.316e-02     4.673e+01  
   92       37229    3.591256e+01     0.000e+00     1.176e-01     1.110e-01     2.311e+01  
   93       37627    3.564664e+01     0.000e+00     1.176e-01     8.039e-02     2.639e+01  
   94       38024    3.530261e+01     0.000e+00     1.681e-01     8.947e-02     3.346e+01  
   95       38421    3.484217e+01     0.000e+00     1.681e-01     9.850e-02     4.053e+01  
   96       38819    3.443745e+01     0.000e+00     1.176e-01     9.372e-02     3.609e+01  
   97       39217    3.419771e+01     0.000e+00     1.176e-01     8.321e-02     4.913e+01  
   98       39614    3.395900e+01     0.000e+00     1.681e-01     1.098e-01     2.145e+01  
   99       40011    3.387733e+01     0.000e+00     1.681e-01     1.006e-01     3.777e+01  
  100       40408    3.352119e+01     0.000e+00     1.681e-01     8.640e-02     3.115e+01  
  101       40804    3.336356e+01     0.000e+00     2.401e-01     1.278e-01     3.830e+01  
  102       41201    3.294542e+01     0.000e+00     1.681e-01     9.305e-02     2.964e+01  
  103       41599    3.263280e+01     0.000e+00     1.176e-01     7.248e-02     2.634e+01  
  104       41995    3.259670e+01     0.000e+00     2.401e-01     1.031e-01     3.017e+01  
  105       42390    3.256867e+01     0.000e+00     3.430e-01     1.433e-01     3.094e+01  
  106       42786    3.217784e+01     0.000e+00     2.401e-01     8.252e-02     3.386e+01  
  107       43181    3.211151e+01     0.000e+00     3.430e-01     1.321e-01     2.825e+01  
  108       43577    3.190037e+01     0.000e+00     2.401e-01     9.719e-02     3.816e+01  
  109       43973    3.178903e+01     0.000e+00     2.401e-01     9.062e-02     2.675e+01  
  110       44368    3.178048e+01     0.000e+00     3.430e-01     9.683e-02     2.630e+01  
  111       44763    3.125748e+01     0.000e+00     3.430e-01     1.102e-01     3.022e+01  
  112       45158    3.108223e+01     0.000e+00     3.430e-01     8.508e-02     3.029e+01  
  113       45553    3.100930e+01     0.000e+00     3.430e-01     8.848e-02     2.075e+01  
  114       45948    3.098093e+01     0.000e+00     3.430e-01     8.015e-02     1.918e+01  
  115       46343    3.083498e+01     0.000e+00     3.430e-01     7.695e-02     1.799e+01  
  116       46738    3.061183e+01     0.000e+00     3.430e-01     7.402e-02     1.322e+01  
  117       47133    3.044313e+01     0.000e+00     3.430e-01     7.134e-02     1.943e+01  
  118       47528    3.036480e+01     0.000e+00     3.430e-01     5.451e-02     1.320e+01  
  119       47924    3.026368e+01     0.000e+00     2.401e-01     5.510e-02     1.168e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  120       48319    3.016215e+01     0.000e+00     3.430e-01     5.459e-02     1.044e+01  
  121       48713    3.015252e+01     0.000e+00     4.900e-01     8.785e-02     1.366e+01  
  122       49108    3.011448e+01     0.000e+00     3.430e-01     6.527e-02     1.498e+01  
  123       49504    3.007217e+01     0.000e+00     2.401e-01     6.592e-02     1.604e+01  
  124       49899    2.989830e+01     0.000e+00     3.430e-01     9.185e-02     1.584e+01  
  125       50294    2.979954e+01     0.000e+00     3.430e-01     8.285e-02     1.515e+01  
  126       50689    2.972150e+01     0.000e+00     3.430e-01     1.004e-01     1.710e+01  
  127       51083    2.949628e+01     0.000e+00     4.900e-01     1.187e-01     2.455e+01  
  128       51479    2.937988e+01     0.000e+00     2.401e-01     6.205e-02     1.572e+01  
  129       51873    2.927273e+01     0.000e+00     4.900e-01     8.721e-02     1.416e+01  
  130       52268    2.920223e+01     0.000e+00     3.430e-01     7.490e-02     1.263e+01  
  131       52662    2.906859e+01     0.000e+00     4.900e-01     8.525e-02     1.145e+01  
  132       53057    2.900458e+01     0.000e+00     3.430e-01     6.738e-02     1.124e+01  
  133       53451    2.887678e+01     0.000e+00     4.900e-01     1.091e-01     1.245e+01  
  134       53848    2.886695e+01     0.000e+00     1.681e-01     5.113e-02     1.389e+01  
  135       54242    2.878291e+01     0.000e+00     4.900e-01     1.575e-01     1.703e+01  
  136       54637    2.860750e+01     0.000e+00     3.430e-01     1.634e-01     2.042e+01  
  137       55032    2.834668e+01     0.000e+00     3.430e-01     1.611e-01     2.456e+01  
  138       55427    2.813180e+01     0.000e+00     3.430e-01     1.074e-01     2.095e+01  
  139       55821    2.788881e+01     0.000e+00     4.900e-01     1.223e-01     2.894e+01  
  140       56216    2.775263e+01     0.000e+00     3.430e-01     1.013e-01     1.756e+01  
  141       56609    2.770895e+01     0.000e+00     7.000e-01     1.277e-01     1.381e+01  
  142       57005    2.760104e+01     0.000e+00     2.401e-01     7.194e-02     2.857e+01  
  143       57398    2.757321e+01     0.000e+00     7.000e-01     1.090e-01     2.806e+01  
  144       57795    2.748123e+01     0.000e+00     1.681e-01     4.882e-02     2.848e+01  
  145       58190    2.734583e+01     0.000e+00     3.430e-01     6.115e-02     1.330e+01  
  146       58585    2.733915e+01     0.000e+00     3.430e-01     6.733e-02     1.983e+01  
  147       58979    2.714531e+01     0.000e+00     4.900e-01     7.663e-02     1.255e+01  
  148       59373    2.699513e+01     0.000e+00     4.900e-01     7.197e-02     1.123e+01  
  149       59768    2.698366e+01     0.000e+00     3.430e-01     5.768e-02     1.454e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  150       60161    2.689875e+01     0.000e+00     7.000e-01     9.083e-02     1.454e+01  
  151       60555    2.680488e+01     0.000e+00     4.900e-01     5.771e-02     1.136e+01  
  152       60950    2.673751e+01     0.000e+00     3.430e-01     5.026e-02     9.495e+00  
  153       61346    2.673326e+01     0.000e+00     2.401e-01     4.700e-02     1.034e+01  
  154       61739    2.663397e+01     0.000e+00     7.000e-01     8.329e-02     1.300e+01  
  155       62135    2.661299e+01     0.000e+00     2.401e-01     4.808e-02     8.948e+00  
  156       62529    2.653124e+01     0.000e+00     4.900e-01     9.566e-02     1.384e+01  
  157       62922    2.650427e+01     0.000e+00     7.000e-01     6.564e-02     1.022e+01  
  158       63317    2.646101e+01     0.000e+00     3.430e-01     4.809e-02     5.911e+00  
  159       63710    2.638907e+01     0.000e+00     7.000e-01     6.360e-02     7.361e+00  
  160       64106    2.636301e+01     0.000e+00     2.401e-01     3.787e-02     5.453e+00  
  161       64500    2.630926e+01     0.000e+00     4.900e-01     7.558e-02     8.991e+00  
  162       64893    2.626918e+01     0.000e+00     7.000e-01     6.752e-02     9.167e+00  
  163       65287    2.623528e+01     0.000e+00     4.900e-01     5.607e-02     8.670e+00  
  164       65681    2.620482e+01     0.000e+00     4.900e-01     8.225e-02     9.325e+00  
  165       66073    2.615713e+01     2.776e-17     1.000e+00     1.368e-01     1.774e+01  
  166       66467    2.615086e+01     5.551e-17     4.900e-01     8.226e-02     1.079e+01  
  167       66861    2.610421e+01     2.776e-17     4.900e-01     1.271e-01     1.352e+01  
  168       67253    2.598633e+01     1.388e-17     1.000e+00     1.954e-01     1.570e+01  
  169       67646    2.594036e+01     2.776e-17     7.000e-01     1.400e-01     1.358e+01  
  170       68040    2.589004e+01     6.939e-17     4.900e-01     7.080e-02     1.293e+01  
  171       68434    2.581191e+01     1.388e-17     4.900e-01     5.297e-02     8.361e+00  
  172       68827    2.579380e+01     2.776e-17     7.000e-01     6.969e-02     1.324e+01  
  173       69219    2.564884e+01     5.551e-17     1.000e+00     6.270e-02     6.124e+00  
  174       69613    2.564824e+01     2.776e-17     4.900e-01     3.856e-02     9.809e+00  
  175       70007    2.561128e+01     2.776e-17     4.900e-01     4.489e-02     6.184e+00  
  176       70400    2.557461e+01     0.000e+00     7.000e-01     5.284e-02     1.176e+01  
  177       70793    2.557120e+01     5.551e-17     7.000e-01     7.660e-02     8.705e+00  
  178       71185    2.549763e+01     5.551e-17     1.000e+00     5.762e-02     9.718e+00  
  179       71579    2.549265e+01     5.551e-17     4.900e-01     3.946e-02     9.376e+00  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  180       71974    2.547911e+01     2.776e-17     3.430e-01     3.592e-02     7.656e+00  
  181       72368    2.545768e+01     2.776e-17     4.900e-01     4.687e-02     7.122e+00  
  182       72762    2.543404e+01     1.388e-17     4.900e-01     4.822e-02     8.259e+00  
  183       73155    2.539733e+01     2.776e-17     7.000e-01     3.910e-02     5.502e+00  
