Starting parallel pool (parpool) using the 'Threads' profile ...
Connected to parallel pool with 16 workers.

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0        111           431.717                         7.54e+03
     1        222           280.545       0.0118261         2.14e+03      
     2        333           210.749       0.0160693              670      
     3        444           79.3632        0.308463              271      
     4        555           26.5792        0.536284             17.8      
     5        666            16.628        0.591139             80.9      
     6        777           14.9976        0.299029             7.73      
     7        888           14.4083        0.246565             8.69      
     8        999           14.2635        0.149992             1.75      
     9       1110             14.23       0.0969714             1.41      
    10       1221           14.2229       0.0592784            0.225      
    11       1332           14.2217       0.0349669            0.053      
    12       1443           14.2216       0.0149507           0.0176      
    13       1554           14.2216      0.00311676          0.00336      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
   58       23731    5.902837e+01     0.000e+00     8.235e-02     4.402e-01     1.050e+02  
   59       24131    5.606055e+01     0.000e+00     5.765e-02     3.128e-01     1.415e+02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   60       24531    5.285950e+01     0.000e+00     5.765e-02     2.676e-01     7.218e+01  
   61       24931    5.077133e+01     0.000e+00     5.765e-02     2.198e-01     1.065e+02  
   62       25331    4.825102e+01     0.000e+00     5.765e-02     3.376e-01     8.008e+01  
   63       25730    4.583431e+01     0.000e+00     8.235e-02     3.173e-01     6.790e+01  
   64       26130    4.535908e+01     0.000e+00     5.765e-02     2.074e-01     6.409e+01  
   65       26530    4.402091e+01     0.000e+00     5.765e-02     1.722e-01     7.354e+01  
   66       26931    4.327255e+01     0.000e+00     4.035e-02     1.739e-01     5.693e+01  
   67       27330    4.306286e+01     0.000e+00     8.235e-02     2.759e-01     6.568e+01  
   68       27730    4.272116e+01     0.000e+00     5.765e-02     2.415e-01     6.110e+01  
   69       28130    4.156184e+01     0.000e+00     5.765e-02     1.901e-01     7.362e+01  
   70       28530    4.064751e+01     0.000e+00     5.765e-02     1.621e-01     5.237e+01  
   71       28930    4.052773e+01     0.000e+00     5.765e-02     2.366e-01     4.986e+01  
   72       29330    4.017594e+01     0.000e+00     5.765e-02     1.508e-01     7.967e+01  
   73       29730    3.937833e+01     0.000e+00     5.765e-02     1.684e-01     6.987e+01  
   74       30130    3.906180e+01     0.000e+00     5.765e-02     2.378e-01     7.163e+01  
   75       30530    3.828029e+01     0.000e+00     5.765e-02     1.951e-01     5.400e+01  
   76       30930    3.783977e+01     0.000e+00     5.765e-02     1.878e-01     5.061e+01  
   77       31331    3.731008e+01     0.000e+00     4.035e-02     1.021e-01     5.301e+01  
   78       31731    3.714421e+01     0.000e+00     5.765e-02     1.311e-01     9.757e+01  
   79       32132    3.660087e+01     0.000e+00     4.035e-02     1.430e-01     5.988e+01  
   80       32532    3.615855e+01     0.000e+00     5.765e-02     1.815e-01     7.669e+01  
   81       32932    3.575278e+01     0.000e+00     5.765e-02     1.279e-01     7.457e+01  
   82       33333    3.541132e+01     0.000e+00     4.035e-02     1.131e-01     5.690e+01  
   83       33733    3.528758e+01     0.000e+00     5.765e-02     2.093e-01     4.727e+01  
   84       34134    3.494611e+01     0.000e+00     4.035e-02     1.092e-01     4.333e+01  
   85       34535    3.453578e+01     0.000e+00     4.035e-02     9.462e-02     5.352e+01  
   86       34935    3.432535e+01     0.000e+00     5.765e-02     1.352e-01     6.532e+01  
   87       35336    3.417620e+01     0.000e+00     4.035e-02     1.130e-01     4.436e+01  
   88       35737    3.378664e+01     0.000e+00     4.035e-02     9.368e-02     5.428e+01  
   89       36137    3.347765e+01     0.000e+00     5.765e-02     1.445e-01     4.656e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   90       36538    3.311982e+01     0.000e+00     4.035e-02     1.325e-01     4.759e+01  
   91       36939    3.300447e+01     0.000e+00     4.035e-02     1.061e-01     5.077e+01  
   92       37339    3.274987e+01     0.000e+00     5.765e-02     7.446e-02     5.820e+01  
   93       37740    3.266696e+01     0.000e+00     4.035e-02     9.930e-02     4.740e+01  
   94       38141    3.236896e+01     0.000e+00     4.035e-02     1.045e-01     4.339e+01  
   95       38540    3.227795e+01     0.000e+00     8.235e-02     1.414e-01     2.888e+01  
   96       38941    3.208366e+01     0.000e+00     4.035e-02     7.118e-02     4.094e+01  
   97       39343    3.198815e+01     0.000e+00     2.825e-02     7.210e-02     3.453e+01  
   98       39743    3.172145e+01     0.000e+00     5.765e-02     1.107e-01     4.538e+01  
   99       40144    3.148212e+01     0.000e+00     4.035e-02     1.054e-01     3.499e+01  
  100       40545    3.129499e+01     0.000e+00     4.035e-02     1.213e-01     4.367e+01  
  101       40945    3.121378e+01     0.000e+00     5.765e-02     9.346e-02     4.020e+01  
  102       41345    3.113775e+01     0.000e+00     5.765e-02     6.480e-02     2.310e+01  
  103       41746    3.092104e+01     0.000e+00     4.035e-02     7.272e-02     2.540e+01  
  104       42145    3.057610e+01     0.000e+00     8.235e-02     1.348e-01     3.246e+01  
  105       42546    3.049056e+01     0.000e+00     4.035e-02     6.688e-02     3.129e+01  
  106       42947    3.042673e+01     0.000e+00     4.035e-02     9.339e-02     2.555e+01  
  107       43346    3.004951e+01     0.000e+00     8.235e-02     1.388e-01     2.940e+01  
  108       43747    2.990425e+01     0.000e+00     4.035e-02     6.405e-02     3.457e+01  
  109       44148    2.982238e+01     0.000e+00     4.035e-02     4.469e-02     2.441e+01  
  110       44547    2.973853e+01     0.000e+00     8.235e-02     1.052e-01     2.195e+01  
  111       44947    2.955478e+01     0.000e+00     5.765e-02     9.046e-02     2.486e+01  
  112       45347    2.951155e+01     0.000e+00     5.765e-02     9.162e-02     2.033e+01  
  113       45747    2.934125e+01     0.000e+00     5.765e-02     9.378e-02     1.497e+01  
  114       46147    2.923321e+01     0.000e+00     5.765e-02     7.383e-02     1.473e+01  
  115       46547    2.923213e+01     0.000e+00     5.765e-02     8.897e-02     1.871e+01  
  116       46946    2.910852e+01     0.000e+00     8.235e-02     9.432e-02     1.540e+01  
  117       47344    2.894659e+01     0.000e+00     1.176e-01     1.383e-01     1.943e+01  
  118       47744    2.887292e+01     0.000e+00     5.765e-02     5.806e-02     2.389e+01  
  119       48142    2.879542e+01     0.000e+00     1.176e-01     1.370e-01     2.171e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  120       48540    2.866397e+01     0.000e+00     1.176e-01     1.077e-01     1.872e+01  
  121       48938    2.855125e+01     0.000e+00     1.176e-01     1.134e-01     2.256e+01  
  122       49337    2.839429e+01     0.000e+00     8.235e-02     7.907e-02     2.242e+01  
  123       49735    2.831569e+01     0.000e+00     1.176e-01     8.810e-02     1.600e+01  
  124       50134    2.829065e+01     0.000e+00     8.235e-02     8.534e-02     1.354e+01  
  125       50532    2.819445e+01     0.000e+00     1.176e-01     1.137e-01     1.388e+01  
  126       50929    2.818112e+01     0.000e+00     1.681e-01     1.217e-01     1.993e+01  
  127       51326    2.811757e+01     0.000e+00     1.681e-01     1.100e-01     2.223e+01  
  128       51724    2.807612e+01     0.000e+00     1.176e-01     7.523e-02     2.541e+01  
  129       52123    2.789098e+01     0.000e+00     8.235e-02     8.357e-02     2.664e+01  
  130       52521    2.769935e+01     0.000e+00     1.176e-01     1.013e-01     1.801e+01  
  131       52919    2.755950e+01     0.000e+00     1.176e-01     9.457e-02     1.557e+01  
  132       53317    2.747807e+01     0.000e+00     1.176e-01     4.981e-02     1.361e+01  
  133       53714    2.733949e+01     0.000e+00     1.681e-01     1.062e-01     9.675e+00  
  134       54110    2.718159e+01     0.000e+00     2.401e-01     1.078e-01     9.744e+00  
  135       54509    2.713576e+01     0.000e+00     8.235e-02     3.859e-02     8.072e+00  
  136       54905    2.705130e+01     0.000e+00     2.401e-01     1.151e-01     9.776e+00  
  137       55302    2.697321e+01     0.000e+00     1.681e-01     6.296e-02     9.473e+00  
  138       55699    2.685705e+01     0.000e+00     1.681e-01     1.242e-01     1.265e+01  
  139       56094    2.682741e+01     0.000e+00     3.430e-01     7.900e-02     1.303e+01  
  140       56491    2.678104e+01     0.000e+00     1.681e-01     1.360e-01     1.438e+01  
  141       56887    2.673383e+01     0.000e+00     2.401e-01     7.871e-02     1.482e+01  
  142       57284    2.664650e+01     0.000e+00     1.681e-01     8.803e-02     1.090e+01  
  143       57681    2.658180e+01     0.000e+00     1.681e-01     1.108e-01     1.154e+01  
  144       58076    2.643585e+01     0.000e+00     3.430e-01     1.200e-01     1.264e+01  
  145       58477    2.641125e+01     0.000e+00     4.035e-02     2.819e-02     1.252e+01  
  146       58872    2.636427e+01     0.000e+00     3.430e-01     1.499e-01     1.381e+01  
  147       59271    2.636120e+01     0.000e+00     8.235e-02     5.175e-02     1.020e+01  
  148       59667    2.635122e+01     0.000e+00     2.401e-01     1.369e-01     1.015e+01  
  149       60062    2.625015e+01     0.000e+00     3.430e-01     8.377e-02     2.149e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  150       60459    2.621231e+01     0.000e+00     1.681e-01     8.185e-02     2.444e+01  
  151       60853    2.610245e+01     0.000e+00     4.900e-01     1.304e-01     1.288e+01  
  152       61245    2.609783e+01     0.000e+00     1.000e+00     2.217e-01     2.140e+01  
  153       61641    2.608423e+01     0.000e+00     2.401e-01     7.174e-02     2.302e+01  
  154       62038    2.601152e+01     0.000e+00     1.681e-01     1.025e-01     2.041e+01  
  155       62433    2.596860e+01     0.000e+00     3.430e-01     7.794e-02     1.294e+01  
  156       62828    2.587896e+01     0.000e+00     3.430e-01     6.770e-02     1.540e+01  
  157       63224    2.585130e+01     0.000e+00     2.401e-01     9.605e-02     1.231e+01  
  158       63620    2.580966e+01     0.000e+00     2.401e-01     8.375e-02     1.941e+01  
  159       64012    2.573607e+01     0.000e+00     1.000e+00     1.956e-01     1.658e+01  
  160       64405    2.563463e+01     5.551e-17     7.000e-01     1.338e-01     1.533e+01  
  161       64802    2.562328e+01     5.551e-17     1.681e-01     6.672e-02     1.030e+01  
  162       65199    2.557528e+01     0.000e+00     1.681e-01     5.047e-02     7.215e+00  
  163       65595    2.555927e+01     2.776e-17     2.401e-01     6.458e-02     1.096e+01  
  164       65991    2.555691e+01     0.000e+00     2.401e-01     9.036e-02     9.773e+00  
  165       66386    2.547178e+01     0.000e+00     3.430e-01     1.457e-01     9.055e+00  
  166       66779    2.546300e+01     0.000e+00     7.000e-01     2.680e-01     1.438e+01  
  167       67173    2.530654e+01     0.000e+00     4.900e-01     1.471e-01     1.522e+01  
  168       67568    2.518041e+01     0.000e+00     3.430e-01     9.935e-02     2.703e+01  
  169       67963    2.507160e+01     0.000e+00     3.430e-01     9.932e-02     2.410e+01  
  170       68358    2.494600e+01     0.000e+00     3.430e-01     1.571e-01     1.618e+01  
  171       68753    2.480758e+01     0.000e+00     3.430e-01     1.965e-01     1.407e+01  
  172       69145    2.463498e+01     5.551e-17     1.000e+00     1.969e-01     1.901e+01  
  173       69540    2.461167e+01     0.000e+00     3.430e-01     1.345e-01     2.228e+01  
  174       69937    2.454382e+01     0.000e+00     1.681e-01     7.895e-02     1.610e+01  
  175       70331    2.450295e+01     0.000e+00     4.900e-01     1.552e-01     1.167e+01  
  176       70726    2.449055e+01     0.000e+00     3.430e-01     9.338e-02     1.327e+01  
  177       71120    2.441112e+01     0.000e+00     4.900e-01     1.416e-01     1.793e+01  
  178       71513    2.425627e+01     0.000e+00     7.000e-01     1.255e-01     2.625e+01  
  179       71905    2.410389e+01     5.551e-17     1.000e+00     1.336e-01     2.157e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  180       72298    2.402860e+01     2.776e-17     7.000e-01     1.058e-01     1.070e+01  
  181       72695    2.399195e+01     0.000e+00     1.681e-01     4.995e-02     8.917e+00  
  182       73091    2.399059e+01     0.000e+00     2.401e-01     5.536e-02     1.083e+01  
  183       73486    2.398554e+01     0.000e+00     3.430e-01     8.024e-02     1.453e+01  
  184       73878    2.385832e+01     0.000e+00     1.000e+00     1.300e-01     1.014e+01  
  185       74271    2.380536e+01     0.000e+00     7.000e-01     8.845e-02     1.106e+01  
  186       74665    2.377840e+01     5.551e-17     4.900e-01     6.501e-02     7.300e+00  
  187       75059    2.374967e+01     5.551e-17     4.900e-01     7.604e-02     8.249e+00  
  188       75453    2.373523e+01     0.000e+00     4.900e-01     8.546e-02     9.849e+00  
  189       75846    2.370183e+01     0.000e+00     7.000e-01     1.769e-01     8.134e+00  
  190       76238    2.353448e+01     0.000e+00     1.000e+00     1.801e-01     1.403e+01  
  191       76634    2.349543e+01     0.000e+00     2.401e-01     8.235e-02     1.267e+01  
  192       77030    2.345993e+01     2.776e-17     2.401e-01     9.812e-02     1.216e+01  
  193       77424    2.338862e+01     2.776e-17     4.900e-01     1.212e-01     1.246e+01  
  194       77817    2.330132e+01     5.551e-17     7.000e-01     1.905e-01     1.204e+01  
  195       78209    2.311550e+01     5.551e-17     1.000e+00     1.360e-01     8.104e+00  
  196       78603    2.307865e+01     0.000e+00     4.900e-01     7.224e-02     1.413e+01  
  197       78997    2.306133e+01     0.000e+00     4.900e-01     8.624e-02     8.814e+00  
  198       79391    2.304862e+01     0.000e+00     4.900e-01     1.481e-01     1.294e+01  
  199       79783    2.293468e+01     0.000e+00     1.000e+00     2.003e-01     1.331e+01  
  200       80175    2.270186e+01     5.551e-17     1.000e+00     1.236e-01     1.580e+01  
  201       80571    2.267696e+01     0.000e+00     2.401e-01     6.437e-02     9.881e+00  
  202       80965    2.259755e+01     0.000e+00     4.900e-01     1.736e-01     1.329e+01  
  203       81359    2.258326e+01     0.000e+00     4.900e-01     2.338e-01     1.385e+01  
  204       81752    2.249337e+01     0.000e+00     7.000e-01     2.213e-01     2.169e+01  
  205       82146    2.238762e+01     0.000e+00     4.900e-01     1.541e-01     2.003e+01  
  206       82539    2.216577e+01     0.000e+00     7.000e-01     1.763e-01     1.118e+01  
  207       82931    2.215705e+01     0.000e+00     1.000e+00     1.783e-01     1.621e+01  
  208       83323    2.195200e+01     5.551e-17     1.000e+00     1.885e-01     1.460e+01  
  209       83716    2.190547e+01     5.551e-17     7.000e-01     1.149e-01     1.048e+01  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  210       84111    2.185490e+01     5.551e-17     3.430e-01     5.798e-02     6.369e+00  
  211       84503    2.180837e+01     0.000e+00     1.000e+00     1.301e-01     9.773e+00  
  212       84895    2.169499e+01     1.110e-16     1.000e+00     8.144e-02     5.537e+00  
  213       85288    2.167626e+01     5.551e-17     7.000e-01     3.984e-02     4.188e+00  
  214       85680    2.167572e+01     1.110e-16     1.000e+00     6.385e-02     6.908e+00  
  215       86073    2.166956e+01     5.551e-17     7.000e-01     8.715e-02     7.538e+00  
